"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"UNION","90","10","All and Rural","","4/1/2016","6/30/2026","10.25","150"
"Road Name","Road Code"
"SR 1001","40001001"
"SR 1617","40001617"
"SIKES MILL","50028131"
"TOM BOYD","50043323"
"SR 1619","40001619"
"SR 1606","40001606"
"LOVE MILL","50018268"
"08/18/2026","Page 1 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","NC 218","0.006","E","SR 1001","NC 200","NC 218","9.792","","106370455","2020-10-17","23","1","7","1","O"
"650","NC 218","0.028","E","SR 1001","NC 200","NC 218","9.814","","104859857","2016-09-20","21","1","0","1","O"
"637","SIKES MILL","0.095","N","BRIEF","OLD FERRY","SIKES MILL","999.999","","105713579","2018-12-18","17","1","0","1","O"
"637","SIKES MILL","0.190","N","BRIEF","OLD FERRY","SIKES MILL","999.999","","108485442","2026-05-04","17","1","","1","O"
"637","SIKES MILL","0.350","S","BRIEF","NC 218","SIKES MILL","999.999","","107562589","2023-12-14","19","1","0","1","O"
"558","SIKES MILL","0.300","N","CARRIKER","*LCL OLD FISH RD ","SIKES MILL","999.999","","108496852","2026-05-13","17","1","0","5","O"
"558","SIKES MILL","0.038","N","CLONTZ LONG","*LCL TYLER RIDGE CT ","SIKES MILL","999.999","","107553868","2023-12-02","17","1","0","5","O"
"558","SIKES MILL","0.150","S","CLONTZ LONG","UNIONVILLE","SIKES MILL","999.999","","107408108","2023-07-27","29","1","0","1","O"
"558","SIKES MILL","0.250","S","CLONTZ LONG","UNIONVILLE","SIKES MILL","999.999","","107535602","2023-11-20","17","1","0","5","O"
"558","SIKES MILL","0.095","S","HAIGLER BAUCOM","HENRY SMITH","SIKES MILL","999.999","","106918739","2022-04-11","19","1","0","1","O"
"558","SIKES MILL","0.170","S","HAIGLER BAUCOM","PIEDMONT SCHOOL","SIKES MILL","999.999","","106479132","2021-02-03","19","1","0","1","C"
"558","SIKES MILL","0.057","N","HENRY SMITH","*LCL TOM HELMS ROAD ","SIKES MILL","999.999","","106910959","2022-04-01","24","1","4","1","O"
"558","SIKES MILL","0.095","S","HENRY SMITH","TOM HELMS","SIKES MILL","999.999","","107217101","2023-01-19","24","2","4","1","C"
"558","SIKES MILL","0.190","S","HENRY SMITH","TOM HELMS","SIKES MILL","999.999","","106612846","2021-06-30","21","1","0","1","C"
"558","SIKES MILL","0.210","N","HENRY SMITH","HAIGLER BAUCOM","SIKES MILL","999.999","","107337337","2023-05-16","21","1","0","1","O"
"0","SIKES MILL","0.000","","NC 218","*LCL OLD FISH RD ","SIKES MILL","999.999","","106882446","2022-02-27","21","2","7","1","O"
"637","SIKES MILL","0.110","N","NC 218","BRIEF","SIKES MILL","999.999","","107575353","2023-12-26","19","2","0","1","O"
"637","SIKES MILL","0.190","N","NC 218","BRIEF","SIKES MILL","999.999","","107132496","2022-11-03","28","1","0","1","O"
"637","SIKES MILL","0.440","N","NC 218","BRIEF","SIKES MILL","999.999","","108296735","2025-11-06","29","1","0","5","O"
"637","SIKES MILL","0.000","","OLD FERRY","*LCL BIGGERS CEMETERY RD ","SIKES MILL","999.999","","107885248","2024-10-16","23","1","7","1","O"
"637","SIKES MILL","0.019","S","OLD FERRY","BRIEF","SIKES MILL","999.999","","106029162","2019-10-18","29","1","0","3","C"
"637","SIKES MILL","0.076","S","OLD FERRY","BRIEF","SIKES MILL","999.999","","106285749","2020-07-24","29","2","0","1","O"
"637","SIKES MILL","0.085","N","OLD FERRY","*LCL BIGGERS CEMETRY RD ","SIKES MILL","999.999","","108310676","2025-11-18","19","1","0","1","O"
"558","SIKES MILL","0.190","N","OLD FERRY","*LCL BIGGERS CEMETERY RD ","SIKES MILL","999.999","","106626412","2021-07-09","29","2","0","1","O"
"0","SIKES MILL","0.200","S","OLD FERRY","BRIEF","SIKES MILL","999.999","","106023012","2019-10-15","17","1","0","5","O"
"637","SIKES MILL","0.300","N","OLD FERRY","*LCL BIGGERS CEMETRY RD ","SIKES MILL","999.999","","107748214","2024-06-12","17","1","0","1","O"
"558","SIKES MILL","0.000","","PIEDMONT SCHOOL","HENRY SMITH","SIKES MILL","999.999","","105787598","2019-02-28","24","1","8","1","C"
