"Municipality","On Road","Miles","Dir From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S","Latitude","Longitude","Source"
"UNIONVILLE","SR 1001","0.1","N","SR 1665","SR 2713","SR 1001","2.315","","105183265","2017-08-07","23","1","0","1","B","","",""
"UNIONVILLE","TOM BOYD","0.011","S","UNIONVILLE","SIKES MILL","","999.999","","105230136","2017-09-19","13","1","8","1","O","","",""
"RURAL","SR 1606","0.0","","SR 1607","CL-STANLY","SR 1606","1.084","","105199689","2017-08-21","26","1","7","1","O","","",""
"UNIONVILLE","PVA PIEDMONT MIDDLE SCHOOL","0.019","E","SR 1606","DEAD END","","999.999","","105226618","2017-09-20","21","1","8","1","O","","",""
"UNIONVILLE","SR 1001","0.2","N","SR 1617","SR 1637","SR 1001","3.661","","105191883","2017-08-14","24","1","4","1","O","","",""
"FAIRVIEW","NC 218","0.0","","SR 1606","SR 1609","NC 218","8.082","","105184681","2017-08-08","30","2","7","1","C","","",""
"UNIONVILLE","SR 1606","0.009","E","SR 1618","SR 1001","SR 1606","6.057","","105225441","2017-09-19","30","1","10","1","O","","",""
"UNIONVILLE","SR 1001","0.2","N","SR 1615","SR 1617","SR 1001","3.071","","105257437","2017-10-16","17","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.2","N","SR 1615","SR 1617","SR 1001","3.071","","105245689","2017-10-07","17","2","","1","O","","",""
"NEW SALEM","NC 218","0.0","","SR 1001","SR 1547","NC 218","9.786","","105326336","2017-12-13","21","1","7","1","B","","",""
"UNIONVILLE","SR 1611","0.006","W","SR 1606","SR 1640","SR 1611","3.361","","105387651","2018-02-18","18","1","0","1","O","","",""
"UNIONVILLE","SR 1619","0.095","E","SR 1001","SR 1606","SR 1619","0.095","","105344181","2018-01-04","29","1","0","1","O","","",""
"UNIONVILLE","SR 1617","0.1","E","SR 1615","SR 1001","SR 1617","0.1","","105356713","2018-01-19","19","4","0","5","O","","",""
"UNIONVILLE","TOM BOYD","0.0","","OLD CAMDEN","SIKES MILL","","999.999","","105415127","2018-03-12","30","2","7","1","C","","",""
"RURAL","SR 1001","0.002","NE","US 601","SPRING LAKE","SR 1001","0.002","","105326274","2017-11-25","21","1","9","1","O","","",""
"UNIONVILLE","SIKES MILL","0.28","S","CHANEY","BAUCOM","SR 1001","1.935","","106961419","2022-05-19","21","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1619","SR 1618","SR 1001","3.461","","105363964","2018-01-26","30","1","7","5","C","","",""
"UNIONVILLE","SR 1606","0.002","E","NC 200","SR 1673","SR 1606","999.999","","105391943","2018-02-23","30","1","7","1","O","","",""
"UNIONVILLE","SR 1618","0.019","W","SR 1001","SR 1615","SR 1618","0.019","","105283816","2017-11-07","21","1","0","1","C","","",""
"UNIONVILLE","SR 1001","0.1","S","SR 1615","SR 1638","SR 1001","2.771","","105353604","2018-01-16","23","1","5","1","O","","",""
"UNIONVILLE","SR 1001","0.6","N","SR 1617","SR 1637","SR 1001","4.061","","105317973","2017-12-04","19","1","0","1","O","","",""
"FAIRVIEW","SR 1606","0.0","","SR 1547","NC 218","SR 1606","1.587","","105289308","2017-11-11","30","1","7","1","B","","",""
"FAIRVIEW","SR 1606","1.5","N","SR 1547","SR 1607","SR 1606","0.087","","105318190","2017-12-09","18","2","0","1","O","","",""
"FAIRVIEW","NC 218","0.003","W","SIKES MILL","CROOKED CRK CH","NC 218","8.079","","107321738","2023-05-01","21","1","7","1","C","","",""
"FAIRVIEW","NC 218","0.0","","SR 1606","SR 1547","NC 218","8.082","","105344309","2018-01-06","30","1","7","1","B","","",""
"UNIONVILLE","SR 1001","0.2","S","SR 1619","SR 1617","SR 1001","3.261","","105360672","2018-01-23","17","1","","5","O","","",""
"UNIONVILLE","SR 1637","0.0","","SR 1001","SR 1606","SR 1637","1.444","","105301886","2017-11-27","28","1","10","5","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1617","SR 1681","SR 1001","3.461","","105326435","2017-12-16","30","1","7","1","A","","",""
"UNIONVILLE","SR 1001","0.1","S","SR 1617","SR 1615","SR 1001","3.361","","105324665","2017-12-13","17","1","0","5","O","","",""
"UNIONVILLE","SR 1627","0.0","","SR 1606","NC 200","SR 1627","1.256","","105331514","2017-12-19","30","1","7","1","A","","",""
"FAIRVIEW","SIKES MILL","0.085","N","OLD FERRY","*LCL BIGGERS CEMETRY RD ","SIKES MILL","999.999","","108310676","2025-11-18","19","1","0","1","O","","",""
"UNIONVILLE","SR 1606","0.0","","SR 1001","SR 1678","SR 1606","6.066","","105404553","2018-03-06","30","2","0","1","C","","",""
"FAIRVIEW","NC 218","0.002","E","SR 1606","SR 1547","NC 218","8.084","","105301818","2017-11-26","21","1","0","5","C","","",""
"UNIONVILLE","LOVE MILL","0.15","W","PIEDMONT SCHOOL","SIKES MILL","SR 1001","4.454","","107442543","2023-08-30","21","2","0","1","O","","",""
"INDIAN TRAIL","US 74","0.019","E","SR 1001","TECHNOLOGY","US 74","999.999","","105387411","2018-02-15","28","1","0","5","O","","",""
"UNIONVILLE","SR 1606","0.0","","SR 1638","SR 1678","SR 1606","5.016","","105600736","2018-09-10","19","2","8","1","C","","",""
"RURAL","SR 1606","0.8","N","NC 218","SR 1547","SR 1606","2.141","","105380811","2018-02-01","28","1","0","5","O","","",""
"RURAL","NC 218","0.0","","SR 1001","NC 200","NC 218","9.786","","105283709","2017-11-03","28","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.2","S","SR 1619","SR 1615","SR 1001","3.261","","105276432","2017-10-31","17","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.005","S","SR 1620","SPRING LAKE","SR 1001","1.347","","105596512","2018-08-15","19","1","0","1","O","","",""
"UNIONVILLE","SR 1604","0.0","","SR 1606","SR 1666","SR 1604","0.0","","105337660","2017-12-20","3","2","8","5","O","","",""
"RURAL","SR 1627","0.0","","SR 1606","NC 200","SR 1627","1.256","","105624868","2018-10-02","30","1","7","1","O","","",""
"RURAL","NC 218","0.0","","SR 1001","SR 1547","NC 218","9.786","","105452058","2018-04-18","21","1","7","1","O","","",""
"UNIONVILLE","NC 218","0.0","","SR 1001","SR 1547","NC 218","9.786","","105502400","2018-06-06","22","1","7","1","O","","",""
"UNIONVILLE","SR 1619","0.1","E","SR 1001","SR 1681","SR 1619","0.1","","105517517","2018-06-16","17","1","","5","O","","",""
"UNIONVILLE","SR 1001","0.4","S","SR 1617","SR 1665","SR 1001","3.061","","105456064","2018-04-19","31","1","0","1","O","","",""
"RURAL","SR 1001","0.5","S","SR 1665","SR 1620","SR 1001","1.715","","105554071","2018-07-25","19","1","0","5","","","",""
"UNIONVILLE","SR 1001","0.2","NE","SR 2713","SR 1615","SR 1001","2.725","","105512829","2018-06-15","19","1","0","5","O","","",""
"RURAL","SR 1655","0.0","","SR 1001","SR 1656","SR 1655","1.237","","105627177","2018-10-05","19","1","8","1","O","","",""
"RURAL","SR 1001","0.0","","SR 1617","SR 1615","SR 1001","3.461","","105535858","2018-07-09","30","1","7","1","B","","",""
"UNIONVILLE","NC 200","0.0","","SR 1606","SR 1633","NC 200","25.69","","105422803","2018-03-19","19","1","7","1","O","","",""
"RURAL","SR 1001","0.5","S","SR 1617","SR 1615","SR 1001","2.961","","105477494","2018-05-12","19","1","0","5","A","","",""
