"Municipality","On Road","Miles","Dir From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S","Latitude","Longitude","Source"
"FAIRVIEW","SR 1606","0.0","","SR 1610","NC 218","SR 1606","3.158","","108370708","2026-01-13","25","1","0","1","O","35.127524","-80.47974","DMV349CLEANED"
"RURAL","SR 1606","0.1","N","SR 1547","SR 1607","SR 1606","1.487","","108244970","2025-09-26","21","2","5","1","O","35.148995","-80.47455","DMV349CLEANED"
"FAIRVIEW","NC 218","0.01","E","SR 1606","SR 1547","NC 218","8.092","","108326425","2025-11-30","21","2","0","5","O","35.131031","-80.47403","DMV349CLEANED"
"UNIONVILLE","LOVE MILL","0.23","N","*LCL A G R NANCE RD ","ZEBULON WILLIAMS","","999.999","","108377465","2026-01-20","19","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 2713","SR 1615","SR 1001","2.525","","108377777","2026-01-19","23","1","8","1","O","35.072702","-80.51262","DMV349CLEANED"
"UNIONVILLE","SIKES MILL","0.005","N","TOM HELMS","HENRY SMITH","SR 1001","4.099","","108134024","2025-06-03","28","1","10","5","O","","",""
"RURAL","NC 218","0.0","","SR 1001","SR 1547","NC 218","9.786","","108267514","2025-10-14","21","1","0","1","O","35.13365","-80.44976","DMV349CLEANED"
"RURAL","SR 1606","0.3","N","SR 1607","SR 1604","SR 1606","0.784","","108416489","2026-02-27","19","1","0","5","O","35.159026","-80.4732","DMV349CLEANED"
"RURAL","SIKES MILL","1.0","N","UNIONVILLE","CLONTZ LONG","SR 1001","3.871","","108420507","2026-03-01","17","1","0","5","O","","",""
"UNIONVILLE","SR 1606","0.25","S","SR 1611","SR 1615","SR 1606","4.259","","108527675","2026-06-11","21","1","0","1","C","35.116088","-80.48566","DMV349"
"UNIONVILLE","SR 1001","0.0","","*LCL PEIDMONT SCHOOL RD ","SR 1674","","999.999","","108430866","2026-03-13","24","1","5","1","C","35.093641","-80.4873","DMV349CLEANED"
"UNIONVILLE","SIKES MILL","0.3","N","CARRIKER","*LCL OLD FISH RD ","SIKES MILL","999.999","","108496852","2026-05-13","17","1","0","5","O","","",""
"UNIONVILLE","US 601","0.0","","SR 1001","DEAD END","US 601","18.007","","108401808","2026-02-13","24","1","8","5","O","35.04264","-80.53251","DMV349CLEANED"
"RURAL","SR 1001","0.7","N","US 601","SR 1620","SR 1001","0.7","","108424807","2026-03-07","29","1","0","1","O","35.049281","-80.52564","DMV349CLEANED"
"FAIRVIEW","NC 218","0.019","W","SIKES MILL","MILL CREEK CHUR","NC 218","8.063","","108436294","2026-03-15","21","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.1","N","SR 1638","SR 1675","SR 1001","5.326","","108521472","2026-06-06","19","1","0","1","C","35.102127","-80.47925","DMV349"
"RURAL","SR 1001","0.0","","SR 1607","SR 1604","SR 1001","999.999","","108506936","2026-05-19","24","1","8","1","O","35.154566","-80.47302","DMV349"
"RURAL","SR 1681","0.007","N","SR 1617","SR 1612","SR 1681","999.999","","108526710","2026-06-06","21","1","12","1","O","35.076139","-80.49294","DMV349"
"UNIONVILLE","SR 1606","0.055","S","SR 1678","SR 1618","SR 1606","5.851","","108466476","2026-04-09","28","1","0","5","C","35.09216","-80.49361","DMV349"
"UNIONVILLE","SIKES MILL","0.36","S","TOM BOYD","UNIONVILLE","SR 1001","3.101","","108539563","2026-06-21","17","1","0","2","B","","",""
"RURAL","LOVE MILL","0.66","N","SANTA CLAUS","TITE","SR 1001","10.305","","108507895","2026-05-25","19","2","0","1","C","","",""
