"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"WAYNE","96","4","All and Rural","","10/1/2015","9/30/2025","10.00","150"
"Road Name","Road Code"
"NC 581","30000581"
"BILL","50002677"
"SR 1960","40001960"
"SPRING BANK","50034637"
"SPRING","50028855"
"BANK","50001579"
"NC 111","30000111"
"OLD NC 111","50036308"
"SR 1727","40001727"
"DOLLARD TOWN","50037495"
"11/25/2025","Page 1 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","PVA FAMILY DOLLAR","0.019","SW","NC 111","PVA FAMILY DOLLAR","","999.999","","106235877","2020-05-21","0","2","4","1","O"
"0","PVA FAMILY DOLLAR","0.028","W","NC 111","DEAD END","","999.999","","104968465","2017-01-03","31","1","4","4","O"
"0","PVA FAMILY DOLLAR","0.010","W","NC 581","DEAD END","","999.999","","106354012","2020-10-01","31","1","0","4","O"
"0","PVA FAMILY DOLLAR","0.011","S","NC 581","DEAD END","","999.999","","106622843","2021-06-30","31","1","0","1","O"
"0","PVA FAMILY DOLLAR","0.019","E","NC 581","DEAD END","","999.999","","107615352","2024-02-03","31","1","0","5","O"
"0","PVA FOOD LION","0.005","E","NC 111","SR 1725","","999.999","","108013673","2025-01-28","21","1","4","1","O"
"0","PVA FOOD STAND","0.007","E","NC 111","DEAD END","","999.999","","106339797","2020-09-13","31","1","0","1","O"
"0","PVA FRIENDLY MART","0.008","E","NC 111","NC 55","","999.999","","104709896","2016-03-30","32","1","0","1","O"
"0","PVA FRIENDLY MART","0.009","W","NC 111","SR 1960","","999.999","","106521591","2021-03-21","31","1","0","1","O"
"11/25/2025","Page 7 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","PVA FRIENDLY MART","0.014","W","NC 111","SR 1960","","999.999","","106245026","2020-06-05","20","1","0","1","O"
