"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"JOHNSTON","51","4","All and Rural","","12/1/2013","5/31/2026","12.50","0"
"Road Name","Road Code"
"SR 1003","40001003"
"BUFFALO","50004182"
"WENDELL","50032464"
"LAKE WENDELL","50016884"
"SR 1701","40001701"
"EAGLE ROCK","50009137"
"SR 2638","40002638"
"SR 1716","40001716"
"07/14/2026","Page 1 of 74"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"502","SR 1003","0.190","S","HOLLAND","HOSPITAL","SR 1003","0.995","","105564410","2018-07-29","1","1","0","1","O"
"502","SR 1003","0.250","S","PARKWAY","SR 1923","SR 1003","1.051","","106213110","2020-02-29","29","1","0","5",""
"502","SR 1003","0.114","S","HOLLAND","HOSPITAL","SR 1003","1.071","","108101932","2025-04-20","28","1","","1","O"
"502","SR 1003","0.100","","HOLLAND","HOSPITAL","SR 1003","1.085","Y","105081072","2017-04-25","1","2","","4","O"
"502","BUFFALO","0.500","N","HOSPITAL","HOLLAND","SR 1003","1.098","","104104431","2014-07-05","1","10","0","4",""
"502","SR 1003","0.500","S","BOOKER DAIRY","EVERETT","SR 1003","1.114","","103947122","2013-12-05","1","2","0","4","O"
"502","BUFFALO","0.038","S","HOLLAND","HOSPITAL","SR 1003","1.147","","104766047","2016-05-25","21","1","0","1","C"
"502","SR 1003","0.038","S","HOLLAND","HOSPITAL","SR 1003","1.147","","107270628","2023-02-28","17","1","","1","O"
"502","BUFFALO","0.000","","HOLLAND","HOSPITAL","SR 1003","1.185","","107943604","2024-11-11","21","1","","1","B"
"502","SR 1003","0.000","","HOLLAND","","SR 1003","1.185","","108176995","2025-06-27","21","2","","1","O"
"502","SR 1003","0.000","","HOLLAND","HOSPITAL","SR 1003","1.185","","104354227","2015-04-13","30","1","8","1","O"
"502","SR 1003","0.000","S","HOLLAND","HOSPITAL","SR 1003","1.185","","107622569","2024-01-02","17","1","0","3","O"
"502","SR 1003","0.095","S","PARKWAY","HOLLAND","SR 1003","1.206","","105609518","2018-09-11","1","1","0","5","O"
"07/14/2026","Page 6 of 74"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"502","SR 1003","0.025","N","HOLLAND","PARKWAY","SR 1003","1.210","","107194231","2022-12-10","19","1","0","1",""
"502","SR 1003","0.038","N","HOLLAND","PARKWAY","SR 1003","1.223","","104477939","2015-08-28","30","1","0","1","O"
"502","SR 1003","0.038","S","PARKWAY","HOLLAND","SR 1003","1.263","","107393197","2023-06-22","20","2","","5","A"
"502","SR 1003","0.038","S","PARKWAY","HOLLAND","SR 1003","1.263","","107399474","2023-06-22","20","2","","5","A"
"502","SR 1003","0.019","S","PARKWAY","HOLLAND","SR 1003","1.282","","106414893","2020-11-13","17","1","0","4","O"
"502","SR 1003","0.003","N","PARKWAY","SR 1923","SR 1003","1.304","","105487562","2018-05-19","21","1","7","1","O"
"502","SR 1003","0.019","N","EVERETT","SR 1923","SR 1003","1.320","","104721634","2016-04-16","24","1","0","1","O"
"502","SR 1003","0.250","S","SR 1923","EVERETT","SR 1003","1.364","","105209577","2017-08-22","30","1","8","1","B"
"0","SR 1003","0.250","S","SR 1923","PARKWAY","SR 1003","1.364","","104217849","2014-11-07","1","1","","1","O"
"502","SR 1003","0.076","N","EVERETT","SR 1923","SR 1003","1.377","","105386486","2018-02-08","17","1","0","5","O"
